url,seo_nombre,estado,kb_orig,kb_opt,reduccion_%
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230613_200109320-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-2-004.jpg,OK,165.8,167.5,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230613_200634280-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-2-005.jpg,OK,168.4,169.7,-0.8
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_173459728.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-001.jpg,OK,272.1,276.2,-1.5
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_175511033-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-002.jpg,OK,173.2,175.1,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_180641636.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-003.jpg,OK,166.4,168.7,-1.4
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_181732064.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-004.jpg,OK,152.0,153.9,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_181742785.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-005.jpg,OK,201.7,203.9,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_182429205-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-006.jpg,OK,206.4,208.5,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_184550272-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-007.jpg,OK,157.3,158.8,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_185343154-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-008.jpg,OK,224.7,226.7,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230614_190555703-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-3-009.jpg,OK,224.0,226.1,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230620_180343473-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-4-001.jpg,OK,189.0,190.9,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230620_180653664-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-4-002.jpg,OK,248.4,250.4,-0.8
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230620_183403052-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-4-003.jpg,OK,155.0,157.0,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230620_183644272.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-4-004.jpg,OK,161.3,163.1,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230620_183651868-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-4-005.jpg,OK,118.9,120.4,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230620_190725414.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-4-006.jpg,OK,245.0,247.8,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230620_195240069.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-4-007.jpg,OK,204.5,205.7,-0.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_174505146-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-001.jpg,OK,169.7,171.1,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_174944828.MP-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-002.jpg,OK,203.5,205.8,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_175903901-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-003.jpg,OK,184.4,186.0,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_180254281-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-004.jpg,OK,160.7,161.8,-0.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_184324536-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-005.jpg,OK,156.4,157.6,-0.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_184616964-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-006.jpg,OK,183.7,185.4,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_185609165-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-007.jpg,OK,184.6,186.3,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_193350216-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-008.jpg,OK,215.2,217.6,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_194332762-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-009.jpg,OK,172.7,174.7,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_194345521-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-010.jpg,OK,196.7,198.5,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_194500304-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-011.jpg,OK,152.0,153.6,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_194502825.MP-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-012.jpg,OK,241.0,242.8,-0.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_200533266-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-013.jpg,OK,207.3,208.6,-0.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230621_203148018.MP-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-5-014.jpg,OK,267.5,270.2,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_173727494-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-001.jpg,OK,167.3,168.8,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_180445173-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-002.jpg,OK,182.3,184.3,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_182956069-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-003.jpg,OK,194.5,196.4,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_182956069-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-004.jpg,OK,194.5,196.4,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_183215273-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-005.jpg,OK,170.3,172.3,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_183217729-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-006.jpg,OK,186.9,188.6,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_183546879-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-007.jpg,OK,229.4,231.0,-0.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230627_183921351-Large-1.jpeg,clase-teatro-barcelona-junio-2023-sesion-final-008.jpg,OK,206.9,209.1,-1.1
